Date,Sender,Subject,Category,Words,Attachments,Size_KB
19-03-2025,bob@yahoo.com,Event Invitation,Promotion,1482,0,2525.22
11-09-2025,bob@yahoo.com,Job Opportunity,Personal,568,4,4117.3
24-02-2025,charlie@outlook.com,Team Meeting,Education,1488,5,3609.19
22-12-2025,alice@gmail.com,Important Notice,WORK,543,1,305.25
05-08-2025,admin@service.com,Job Opportunity,Spam,1212,3,2674.17
02-05-2025,charlie@outlook.com,New Project,Notification,70,1,3684.14
08-08-2025,manager@office.com,Job Opportunity,Work,1267,5,4148.16
28-05-2025,support@website.com,Meeting Schedule,Spam,200,2,1265.73
09-04-2025,support@website.com,Event Invitation,Education,412,1,3694.33
12-04-2025,support@website.com,Assignment Submission,Social,747,,3367.6
01-11-2025,emma@gmail.com,Assignment Submission,Promotion,1282,3,3117.79
16-03-2025,manager@office.com,Important Notice,Personal,,2,1112.74
09-02-2025,sarah@company.com,Job Opportunity,Notification,1473,5,2091.38
15-05-2025,john@university.edu,Project Update,Finance,985,0,3099.64
24-08-2025,david@company.com,Monthly Report,Personal,1358,5,3799.13
15-07-2025,manager@office.com,Project Update,Notification,294,2,2388.32
19-02-2025,manager@office.com,Training Program,Spam,334,0,1807.34
12-10-2025,charlie@outlook.com,Job Opportunity,Social,31,2,2334.33
12-07-2025,admin@service.com,Event Invitation,Finance,353,3,373.18
24-04-2025,sarah@company.com,Monthly Report,,295,5,3666.2
16-06-2025,admin@service.com,Assignment Submission,Social,851,0,2993.3
25-03-2025,bob@yahoo.com,Monthly Report,Work,811,0,818.72
04-01-2025,bob@yahoo.com,Training Program,Work,788,5,1031.07
30-01-2025,sarah@company.com,Holiday Plans,Education,83,1,4244.1
10-09-2025,manager@office.com,Weekly Update,Spam,949,3,2212.17
31-10-2025,sarah@company.com,Holiday Plans,Spam,1385,4,4750.94
15-03-2025,john@university.edu,Important Notice,Education,1452,5,1654.99
11-11-2025,manager@office.com,Payment Confirmation,Work,1089,1,1824.55
27-04-2025,david@company.com,System Notification,Personal,798,2,2269.78
06-06-2025,alice@gmail.com,Job Opportunity,Personal,445,5,1059.07
16-07-2025,emma@gmail.com,Holiday Plans,Social,1212,5,2866.52
21-06-2025,bob@yahoo.com,Monthly Report,Notification,,5,3746.71
22-04-2025,manager@office.com,New Project,Work,320,5,750.34
17-02-2025,,Event Invitation,Education,1159,0,2934.39
12-03-2025,admin@service.com,Training Program,Spam,325,4,4466.19
30-08-2025,emma@gmail.com,Important Notice,Education,,5,3225.71
06-04-2025,david@company.com,Weekly Update,Spam,568,5,2665.93
26-08-2025,manager@office.com,Assignment Submission,Promotion,1491,2,3672.33
14-05-2025,sarah@company.com,Payment Confirmation,Promotion,671,3,1363.42
24-12-2025,manager@office.com,Event Invitation,Finance,1422,0,3104.17
13-01-2025,manager@office.com,,Finance,951,0,1254.16
12-05-2025,bob@yahoo.com,Job Opportunity,,1231,5,759.92
31-03-2025,admin@service.com,Training Program,Finance,213,3,514.03
24-02-2025,manager@office.com,Important Notice,Personal,830,2,3730.3
02-10-2025,sarah@company.com,Monthly Report,Notification,1361,3,2862.26
03-10-2025,bob@yahoo.com,,Finance,1052,5,2376.2
08-06-2025,john@university.edu,Event Invitation,Spam,413,1,4999.88
21-12-2025,alice@gmail.com,Event Invitation,Promotion,1456,4,2971.13
25-05-2025,bob@yahoo.com,Monthly Report,Social,1057,4,1623
06-07-2025,john@university.edu,Payment Confirmation,Personal,1368,4,4096.15
02-02-2025,admin@service.com,Meeting Schedule,Social,432,0,3956.59
28-10-2025,alice@gmail.com,Weekly Update,Finance,1326,1,267.19
18-04-2025,bob@yahoo.com,Holiday Plans,Promotion,1274,2,939.83
19-06-2025,admin@service.com,System Notification,Promotion,209,4,3624.3
07-08-2025,manager@office.com,Team Meeting,Finance,218,0,1038.73
30-09-2025,john@university.edu,Weekly Update,Social,1269,3,965.36
23-07-2025,bob@yahoo.com,Project Update,Social,1285,1,
10-04-2025,support@website.com,Weekly Update,Spam,857,5,2461.17
30-12-2025,charlie@outlook.com,Project Update,Work,471,2,168.31
07-09-2025,admin@service.com,Payment Confirmation,Finance,306,0,969.5
07-05-2025,emma@gmail.com,Invoice Details,Social,611,5,1040.35
18-11-2025,john@university.edu,Training Program,Work,627,3,3765.68
17-11-2025,bob@yahoo.com,New Project,Work,1058,5,160.82
07-07-2025,alice@gmail.com,Event Invitation,Spam,1138,1,4948.93
03-03-2025,manager@office.com,New Project,Work,1318,5,1915.52
13-08-2025,david@company.com,Event Invitation,Work,306,4,4967.45
04-09-2025,emma@gmail.com,Weekly Update,Spam,1441,0,1869.15
28-02-2025,support@website.com,Event Invitation,Social,1332,2,562.2
18-06-2025,sarah@company.com,Monthly Report,Social,1364,4,4367.03
13-08-2025,john@university.edu,System Notification,Spam,525,3,2027.31
01-09-2025,david@company.com,Assignment Submission,Social,1091,3,2063.1
06-11-2025,john@university.edu,Important Notice,Education,1486,3,1851.3
03-08-2025,charlie@outlook.com,System Notification,Promotion,1203,5,1567.01
27-10-2025,manager@office.com,Important Notice,Promotion,469,1,2550.08
17-05-2025,emma@gmail.com,Payment Confirmation,Social,715,2,35.5
22-09-2025,alice@gmail.com,Training Program,Education,154,2,3549.3
09-10-2025,support@website.com,System Notification,Promotion,244,2,4329.07
21-10-2025,david@company.com,Meeting Schedule,Spam,662,3,761.4
20-02-2025,support@website.com,Payment Confirmation,Finance,900,3,4441.01
16-09-2025,support@website.com,Holiday Plans,Finance,868,3,1260.07
26-02-2025,admin@service.com,Meeting Schedule,Promotion,448,5,2692.34
13-03-2025,manager@office.com,Holiday Plans,Education,824,4,3697.9
03-12-2025,emma@gmail.com,Project Update,Spam,282,5,1296.97
20-12-2025,support@website.com,Event Invitation,Spam,147,5,694.72
30-06-2025,support@website.com,Payment Confirmation,Promotion,948,5,141.62
05-08-2025,alice@gmail.com,Payment Confirmation,Education,969,5,2261.23
13-04-2025,charlie@outlook.com,Weekly Update,Spam,242,1,2705.46
27-04-2025,sarah@company.com,Project Update,Personal,928,1,3471.54
05-04-2025,david@company.com,System Notification,Finance,635,5,726.04
27-12-2025,david@company.com,Training Program,Promotion,599,3,2333.92
19-07-2025,david@company.com,New Project,Notification,466,1,538.54
23-01-2025,support@website.com,Project Update,Notification,181,4,1469.43
06-08-2025,david@company.com,Important Notice,Personal,663,0,
01-04-2025,sarah@company.com,Event Invitation,Spam,401,5,4810.85
11-03-2025,charlie@outlook.com,New Project,Spam,199,5,4837.97
05-12-2025,john@university.edu,,Education,1120,3,2646.57
13-08-2025,emma@gmail.com,Job Opportunity,Work,1387,4,1500.4
30-04-2025,charlie@outlook.com,Event Invitation,Work,587,1,4937.7
19-06-2025,support@website.com,Invoice Details,,845,1,398.76
13-01-2025,john@university.edu,Weekly Update,Work,706,0,3795.85
24-02-2025,support@website.com,Job Opportunity,Finance,333,2,3813.74
16-08-2025,manager@office.com,Training Program,Spam,867,1,923.51
26-11-2025,alice@gmail.com,Monthly Report,Personal,1026,3,3686.03
18-12-2025,david@company.com,Team Meeting,Social,181,3,4514.37
10-04-2025,support@website.com,Weekly Update,Spam,857,5,2461.17
09-08-2025,charlie@outlook.com,Training Program,Social,677,0,404.94
11-10-2025,charlie@outlook.com,Weekly Update,Notification,195,4,1480.42
22-09-2025,emma@gmail.com,Monthly Report,Social,865,1,4268.14
22-07-2025,manager@office.com,New Project,Finance,940,4,2150.62
15-09-2025,alice@gmail.com,Training Program,Personal,400,0,2977.2
07-03-2025,john@university.edu,New Project,Work,752,1,3411.92
28-11-2025,david@company.com,New Project,Personal,967,1,1312.61
14-11-2025,john@university.edu,Monthly Report,Notification,181,2,4796.69
01-05-2025,support@website.com,New Project,Personal,1088,5,4145.76
,bob@yahoo.com,Weekly Update,Spam,53,0,4647.52
04-07-2025,admin@service.com,New Project,Work,101,5,1623.74
18-10-2025,john@university.edu,Important Notice,Education,29,2,1234.64
10-05-2025,john@university.edu,Event Invitation,Notification,302,5,599.83
04-05-2025,manager@office.com,Invoice Details,Work,1417,2,
26-04-2025,admin@service.com,New Project,Spam,628,4,4950.21
20-01-2025,david@company.com,System Notification,Spam,736,2,4103.58
01-10-2025,admin@service.com,Event Invitation,Social,1346,1,887.21
22-06-2025,sarah@company.com,Project Update,Promotion,724,4,1326.28
15-06-2025,support@website.com,Job Opportunity,Education,1179,3,3942.58
06-06-2025,john@university.edu,Training Program,Education,689,4,3490.35
20-04-2025,sarah@company.com,Monthly Report,Work,1024,4,1876.65
26-09-2025,charlie@outlook.com,Holiday Plans,Spam,755,1,828.59
07-09-2025,charlie@outlook.com,Holiday Plans,Work,29,3,1371.27
08-12-2025,manager@office.com,Monthly Report,Promotion,912,1,2487.27
03-04-2025,emma@gmail.com,System Notification,Notification,45,0,4873.12
11-11-2025,john@university.edu,Meeting Schedule,Social,942,3,1144.55
14-01-2025,admin@service.com,Assignment Submission,Spam,1478,5,1872.93
29-03-2025,john@university.edu,Job Opportunity,Education,1060,0,2031.4
08-02-2025,emma@gmail.com,Monthly Report,Work,628,4,2013.13
19-05-2025,charlie@outlook.com,Important Notice,Personal,1067,5,3090.4
11-08-2025,emma@gmail.com,Team Meeting,Personal,759,2,4721.39
29-12-2025,support@website.com,New Project,Finance,765,3,354.52
18-08-2025,manager@office.com,Weekly Update,Promotion,1304,2,759.03
27-05-2025,charlie@outlook.com,Assignment Submission,Finance,259,0,4968.9
26-04-2025,charlie@outlook.com,Event Invitation,Spam,1178,5,3863.88
14-05-2025,emma@gmail.com,Meeting Schedule,Personal,1241,3,1731.71
29-08-2025,david@company.com,Holiday Plans,Promotion,867,0,2814.81
28-01-2025,bob@yahoo.com,Meeting Schedule,Notification,714,0,1247.04
27-12-2025,david@company.com,Assignment Submission,Personal,657,4,4461.75
12-07-2025,john@university.edu,Job Opportunity,Personal,1078,2,1884.76
19-01-2025,emma@gmail.com,Holiday Plans,Promotion,796,0,3793.42
06-09-2025,support@website.com,System Notification,Spam,957,2,2838.42
27-03-2025,john@university.edu,Important Notice,Notification,166,0,814.19
04-10-2025,admin@service.com,Assignment Submission,Education,1230,4,2285.43
24-11-2025,emma@gmail.com,Event Invitation,Notification,1437,5,3850.55
16-08-2025,admin@service.com,Invoice Details,Finance,653,3,4520.35
23-05-2025,support@website.com,Important Notice,Promotion,76,0,4385.81
15-04-2025,charlie@outlook.com,New Project,Social,917,5,2426.14
28-07-2025,admin@service.com,Important Notice,Work,443,3,1950.44
17-02-2025,sarah@company.com,Training Program,Spam,134,5,52.2
12-12-2025,sarah@company.com,New Project,Personal,361,1,2752.08
08-02-2025,bob@yahoo.com,Important Notice,Social,1442,2,2276.2
05-12-2025,john@university.edu,System Notification,Personal,59,2,4337.72
21-02-2025,david@company.com,Important Notice,Social,1372,2,1490.52
17-02-2025,sarah@company.com,Team Meeting,Spam,457,3,4512.7
17-08-2025,charlie@outlook.com,Project Update,Education,435,0,3114.69
01-01-2025,admin@service.com,Weekly Update,Personal,444,4,4994.94
,manager@office.com,Invoice Details,Spam,239,1,
12-12-2025,bob@yahoo.com,New Project,Finance,1205,4,203.51
07-02-2025,manager@office.com,Assignment Submission,Personal,278,2,3123.47
21-10-2025,support@website.com,New Project,Personal,297,3,4594.25
24-02-2025,bob@yahoo.com,Event Invitation,Social,1111,3,2007.08
,charlie@outlook.com,Meeting Schedule,,,0,534.1
,sarah@company.com,System Notification,Promotion,319,2,215.12
21-02-2025,david@company.com,Team Meeting,Social,560,,255.15
13-03-2025,bob@yahoo.com,Assignment Submission,Finance,641,3,4941.97
19-02-2025,support@website.com,Event Invitation,Spam,974,1,1471.35
11-07-2025,john@university.edu,New Project,Personal,1483,5,1679.78
26-07-2025,david@company.com,Payment Confirmation,Education,452,5,114.46
,admin@service.com,Important Notice,Promotion,353,0,1093.29
28-06-2025,alice@gmail.com,Important Notice,Promotion,502,3,4972.65
03-02-2025,bob@yahoo.com,Job Opportunity,Work,330,1,4056.65
16-03-2025,alice@gmail.com,Invoice Details,Social,349,2,3418.53
26-08-2025,alice@gmail.com,Assignment Submission,Social,634,5,4172.04
24-04-2025,alice@gmail.com,Monthly Report,Notification,624,1,984.98
14-02-2025,sarah@company.com,Payment Confirmation,Spam,1096,3,3846.98
26-09-2025,manager@office.com,Event Invitation,Notification,201,0,2050.26
10-11-2025,manager@office.com,Job Opportunity,Finance,1241,1,1158.41
23-12-2025,manager@office.com,Payment Confirmation,Education,869,5,499.61
05-08-2025,john@university.edu,Team Meeting,Social,466,3,1514.21
26-09-2025,charlie@outlook.com,Weekly Update,Education,670,0,2788.91
04-06-2025,david@company.com,Invoice Details,Promotion,64,5,4112.58
08-09-2025,support@website.com,Weekly Update,Work,1093,0,4196.15
25-04-2025,alice@gmail.com,Monthly Report,Spam,1399,5,2724.5
17-02-2025,manager@office.com,New Project,Finance,178,5,1626.84
02-02-2025,john@university.edu,Weekly Update,Personal,832,5,4214.54
24-04-2025,charlie@outlook.com,Project Update,Personal,1106,4,
06-12-2025,bob@yahoo.com,Holiday Plans,Social,680,1,4879.42
08-07-2025,manager@office.com,Meeting Schedule,Work,1434,5,1202.18
,alice@gmail.com,Assignment Submission,Finance,1076,0,4770.63
14-07-2025,sarah@company.com,Monthly Report,Personal,983,0,3746.38
12-09-2025,alice@gmail.com,Project Update,Notification,864,0,2787.87
18-10-2025,sarah@company.com,Invoice Details,Promotion,177,5,4119.58
11-12-2025,david@company.com,Training Program,Promotion,1407,5,4966.11
18-07-2025,john@university.edu,Weekly Update,Work,1312,5,1676.57
27-01-2025,bob@yahoo.com,Event Invitation,Work,83,1,1000.81
20-05-2025,support@website.com,Project Update,Promotion,900,0,1419.82
28-06-2025,admin@service.com,Job Opportunity,Education,1399,5,4004.06
21-04-2025,admin@service.com,Monthly Report,Work,896,5,4363.63
27-03-2025,bob@yahoo.com,Project Update,Spam,1143,0,136.69
15-01-2025,manager@office.com,Monthly Report,Finance,1191,3,3092.45
15-06-2025,admin@service.com,Project Update,Finance,708,3,2516.33
19-09-2025,charlie@outlook.com,Training Program,Promotion,820,4,3173.3
23-08-2025,support@website.com,Team Meeting,Promotion,1431,0,64.04
08-06-2025,support@website.com,Important Notice,Notification,1344,0,1013.94
13-11-2025,support@website.com,System Notification,Work,254,5,1733.31
27-12-2025,bob@yahoo.com,System Notification,Promotion,168,2,3524.17
25-11-2025,bob@yahoo.com,Training Program,Personal,109,1,897.3
12-10-2025,david@company.com,Project Update,Finance,1494,3,2445.45
03-12-2025,bob@yahoo.com,Holiday Plans,Promotion,255,2,2872.63
13-07-2025,bob@yahoo.com,Meeting Schedule,Finance,1090,,3423.42
19-04-2025,emma@gmail.com,Holiday Plans,Social,1240,5,4401.14
06-09-2025,john@university.edu,Weekly Update,Notification,358,3,4598.11
22-07-2025,manager@office.com,Important Notice,Promotion,921,2,2155.93
19-01-2025,admin@service.com,Weekly Update,Work,985,4,233.78
11-07-2025,support@website.com,Important Notice,Notification,1241,1,2876.16
24-12-2025,admin@service.com,Weekly Update,Personal,390,2,4906.6
19-04-2025,emma@gmail.com,Holiday Plans,Social,1240,5,4401.14
22-03-2025,alice@gmail.com,Important Notice,Finance,1430,1,4411.33
04-07-2025,alice@gmail.com,Payment Confirmation,Education,581,0,4871.6
16-08-2025,sarah@company.com,Monthly Report,Notification,406,0,4474.3
11-12-2025,alice@gmail.com,Important Notice,Social,26,5,1093.42
19-05-2025,john@university.edu,Project Update,Promotion,314,0,689.06
31-03-2025,emma@gmail.com,Holiday Plans,Promotion,892,5,583.93
02-09-2025,manager@office.com,System Notification,Finance,481,2,1766.79
30-03-2025,charlie@outlook.com,Project Update,Notification,1366,4,3032.77
13-06-2025,bob@yahoo.com,Training Program,Social,634,1,3560.49
29-01-2025,manager@office.com,Payment Confirmation,Promotion,1157,4,98.5
19-07-2025,support@website.com,Event Invitation,Finance,1019,1,1368.31
18-01-2025,support@website.com,Event Invitation,Education,266,3,868.53
08-12-2025,sarah@company.com,Payment Confirmation,Social,1155,1,963.24
13-07-2025,alice@gmail.com,Event Invitation,Education,706,4,4357.17
25-11-2025,support@website.com,New Project,Work,43,5,4672.19
17-02-2025,david@company.com,Weekly Update,Promotion,698,2,1471.4
10-02-2025,admin@service.com,Weekly Update,Social,1001,1,1014.33
31-07-2025,support@website.com,Team Meeting,Education,778,4,2776.78
11-06-2025,bob@yahoo.com,Invoice Details,Promotion,455,5,2498.66
14-08-2025,emma@gmail.com,Assignment Submission,Education,580,0,81.21
,support@website.com,Payment Confirmation,Social,301,0,3080.31
05-12-2025,admin@service.com,Job Opportunity,Notification,361,5,2222.32
03-06-2025,charlie@outlook.com,Weekly Update,Education,160,4,2818.64
19-04-2025,support@website.com,Team Meeting,Education,1206,1,4624.45
27-11-2025,support@website.com,Job Opportunity,Social,1434,0,4240.22
11-07-2025,support@website.com,Team Meeting,Spam,109,2,4491.92
08-08-2025,sarah@company.com,Holiday Plans,Work,1374,1,1241.83
13-08-2025,charlie@outlook.com,New Project,Notification,1029,3,1759.4
14-09-2025,manager@office.com,New Project,Education,825,3,1620.69
21-09-2025,support@website.com,Assignment Submission,Work,1305,5,2583.54
10-03-2025,sarah@company.com,Team Meeting,Personal,1185,5,2455.32
22-05-2025,bob@yahoo.com,Event Invitation,Education,1423,3,2490.09
26-02-2025,admin@service.com,Assignment Submission,Personal,1067,0,3619.2
08-01-2025,david@company.com,Payment Confirmation,Personal,1000,1,3479.65
01-09-2025,charlie@outlook.com,Meeting Schedule,Spam,1396,0,1984.87
08-10-2025,manager@office.com,Training Program,Education,356,2,4273.16
11-11-2025,charlie@outlook.com,Holiday Plans,Personal,508,2,589.16
08-01-2025,david@company.com,Payment Confirmation,Finance,438,0,889.51
18-03-2025,manager@office.com,Job Opportunity,Finance,1345,2,2496.96
08-10-2025,sarah@company.com,New Project,Notification,828,1,820.53
12-04-2025,support@website.com,Invoice Details,Education,564,1,361.69
14-06-2025,sarah@company.com,Important Notice,Finance,580,3,4818.15
06-09-2025,bob@yahoo.com,Team Meeting,Social,945,4,1843.89
11-06-2025,bob@yahoo.com,Assignment Submission,Notification,1354,4,1271.9
01-02-2025,sarah@company.com,System Notification,Promotion,1470,0,4119.1
18-12-2025,admin@service.com,New Project,Promotion,1058,2,
08-02-2025,manager@office.com,Project Update,Education,236,1,2250.59
19-03-2025,bob@yahoo.com,Project Update,Promotion,1128,3,4853.67
28-04-2025,david@company.com,Team Meeting,Promotion,547,3,4832.71
17-01-2025,charlie@outlook.com,Job Opportunity,Education,1035,3,3852.99
18-05-2025,john@university.edu,System Notification,Social,656,2,4215.02
18-01-2025,john@university.edu,Monthly Report,Personal,171,2,854.68
16-06-2025,sarah@company.com,System Notification,Promotion,1266,1,2817.91
14-02-2025,bob@yahoo.com,Event Invitation,Finance,449,5,2941.68
03-10-2025,bob@yahoo.com,Training Program,Notification,418,3,1592.2
22-11-2025,support@website.com,Weekly Update,Social,731,3,2700.64
,admin@service.com,Job Opportunity,Finance,687,3,1405.1
25-09-2025,emma@gmail.com,Team Meeting,Work,1428,3,4735.05
25-12-2025,john@university.edu,Training Program,Finance,268,1,3961.37
13-04-2025,emma@gmail.com,Meeting Schedule,Spam,1360,0,337.66
12-06-2025,emma@gmail.com,New Project,Notification,1490,2,4951.49
28-02-2025,support@website.com,Payment Confirmation,Social,70,4,4111.43
28-11-2025,bob@yahoo.com,New Project,Personal,644,0,1691.28
25-02-2025,support@website.com,,Work,980,0,4543.1
04-03-2025,admin@service.com,Event Invitation,Education,958,2,784.49
15-08-2025,john@university.edu,Assignment Submission,Social,78,5,4073.8
22-10-2025,john@university.edu,Weekly Update,Personal,941,3,3402.14
26-06-2025,support@website.com,Assignment Submission,Education,396,1,3086.34
10-02-2025,sarah@company.com,New Project,Notification,1277,5,2607.42
24-12-2025,manager@office.com,Meeting Schedule,Promotion,,4,714.8
17-04-2025,sarah@company.com,Event Invitation,Notification,1181,2,2724.91
14-12-2025,support@website.com,Weekly Update,Social,113,1,1979.34
28-10-2025,admin@service.com,System Notification,Education,934,4,2424.29
26-04-2025,emma@gmail.com,System Notification,Personal,533,1,3177.11
20-03-2025,john@university.edu,Holiday Plans,Personal,207,0,4715.09
13-11-2025,sarah@company.com,Assignment Submission,Education,390,5,3856.63
30-09-2025,david@company.com,Invoice Details,Spam,728,1,1381.87
02-04-2025,charlie@outlook.com,Payment Confirmation,Spam,754,0,1098
14-12-2025,charlie@outlook.com,Project Update,Finance,1341,2,1813.94
31-03-2025,sarah@company.com,Training Program,Spam,116,2,4708.22
07-12-2025,charlie@outlook.com,Weekly Update,Spam,157,0,4159.7
12-10-2025,sarah@company.com,Invoice Details,Education,326,3,4029.31
23-10-2025,alice@gmail.com,New Project,Promotion,732,3,2085.53
09-01-2025,bob@yahoo.com,Important Notice,Social,1429,5,138.1
29-07-2025,charlie@outlook.com,Weekly Update,,515,2,3295.02
09-02-2025,support@website.com,Holiday Plans,Notification,663,5,1397.06
01-03-2025,support@website.com,Assignment Submission,Notification,949,2,3354.08
18-07-2025,charlie@outlook.com,Assignment Submission,Finance,483,0,2045.9
15-01-2025,alice@gmail.com,Monthly Report,Promotion,787,3,732.12
08-11-2025,support@website.com,Payment Confirmation,Finance,354,3,1900.38
21-07-2025,david@company.com,Invoice Details,Promotion,119,0,1410.37
22-10-2025,emma@gmail.com,Holiday Plans,Education,440,4,3537.14
11-08-2025,manager@office.com,Job Opportunity,Work,653,5,3709.76
26-05-2025,admin@service.com,Job Opportunity,Spam,1006,1,1100.72
28-02-2025,bob@yahoo.com,Job Opportunity,Work,658,4,3388.35
24-01-2025,manager@office.com,System Notification,Personal,952,3,4431.25
27-09-2025,alice@gmail.com,Weekly Update,Promotion,686,3,2338.63
09-11-2025,admin@service.com,Holiday Plans,Finance,1306,5,761.11
30-07-2025,admin@service.com,System Notification,Finance,197,0,704.37
01-10-2025,sarah@company.com,Event Invitation,Work,1090,0,131.23
15-04-2025,emma@gmail.com,Training Program,Spam,1295,5,4961.55
28-07-2025,bob@yahoo.com,Team Meeting,Personal,1346,1,2494.39
25-10-2025,manager@office.com,Invoice Details,Work,1149,2,2719.63
06-12-2025,manager@office.com,Weekly Update,Education,1072,1,2233.87
07-06-2025,john@university.edu,Payment Confirmation,Work,576,3,438.55
08-04-2025,bob@yahoo.com,Event Invitation,Notification,115,5,4188.14
,manager@office.com,Monthly Report,Work,207,1,4809.75
19-02-2025,david@company.com,Training Program,Notification,408,1,2633.33
19-06-2025,david@company.com,Project Update,Social,1288,0,4501.09
07-02-2025,emma@gmail.com,Event Invitation,,58,3,748.53
21-07-2025,manager@office.com,Meeting Schedule,Notification,1376,1,1187.67
16-03-2025,manager@office.com,Training Program,Education,162,2,3864.51
10-03-2025,manager@office.com,System Notification,Promotion,597,1,426.57
25-01-2025,sarah@company.com,System Notification,Spam,1061,1,3460.63
06-09-2025,charlie@outlook.com,Event Invitation,Spam,241,0,1257.2
08-09-2025,charlie@outlook.com,Training Program,Promotion,682,5,2344.63
15-11-2025,bob@yahoo.com,Holiday Plans,Promotion,,0,2006.88
23-07-2025,alice@gmail.com,Monthly Report,Work,1080,1,4967.09
05-10-2025,alice@gmail.com,Event Invitation,Notification,399,0,3100.57
25-01-2025,emma@gmail.com,Team Meeting,Education,1286,1,3560.5
23-02-2025,john@university.edu,Payment Confirmation,Personal,507,2,4911.99
16-05-2025,john@university.edu,New Project,Personal,520,2,1428.51
04-02-2025,bob@yahoo.com,Meeting Schedule,Promotion,1347,0,3387.31
08-01-2025,david@company.com,Payment Confirmation,Finance,438,0,889.51
26-09-2025,support@website.com,Training Program,Work,819,3,222.45
10-12-2025,support@website.com,Holiday Plans,Notification,856,1,1502.94
31-05-2025,charlie@outlook.com,Assignment Submission,Notification,1253,5,4432.75
21-01-2025,manager@office.com,Important Notice,,52,3,408.21
04-10-2025,charlie@outlook.com,Project Update,Work,289,0,1794.42
26-06-2025,john@university.edu,Training Program,Personal,673,1,2335.03
20-06-2025,support@website.com,Important Notice,Spam,679,1,4903.97
22-05-2025,charlie@outlook.com,Invoice Details,Education,1476,2,4143.27
05-04-2025,charlie@outlook.com,Monthly Report,Social,976,5,4681.23
29-03-2025,sarah@company.com,Weekly Update,Promotion,1178,0,4474.48
21-07-2025,manager@office.com,Invoice Details,Education,1416,4,139.45
28-04-2025,charlie@outlook.com,Project Update,Finance,1061,3,3931.48
25-04-2025,david@company.com,System Notification,Social,609,5,2473.37
27-01-2025,emma@gmail.com,Holiday Plans,Personal,1203,4,1067.63
26-07-2025,support@website.com,New Project,Work,375,1,4376.53
03-03-2025,emma@gmail.com,System Notification,Work,460,,745.88
07-09-2025,bob@yahoo.com,Important Notice,Social,,5,4783.19
24-10-2025,alice@gmail.com,Payment Confirmation,Promotion,137,0,2922.97
12-09-2025,charlie@outlook.com,Meeting Schedule,Personal,128,0,2493.18
26-08-2025,sarah@company.com,Important Notice,Education,815,1,1278.7
04-07-2025,emma@gmail.com,System Notification,Education,295,0,363.37
,john@university.edu,Important Notice,Social,949,4,3029.11
05-08-2025,support@website.com,Payment Confirmation,Education,1156,1,2450.76
27-09-2025,bob@yahoo.com,Team Meeting,Spam,761,4,2970.36
18-12-2025,emma@gmail.com,Payment Confirmation,Personal,1328,2,1840.88
28-02-2025,john@university.edu,Assignment Submission,Spam,1432,2,445.21
,emma@gmail.com,Job Opportunity,Education,1326,4,4528.36
24-09-2025,manager@office.com,Project Update,Work,1067,5,4832.59
07-08-2025,manager@office.com,Holiday Plans,Spam,1130,1,1037.75
05-02-2025,charlie@outlook.com,,Spam,1145,1,1328.96
19-03-2025,alice@gmail.com,Monthly Report,Notification,1417,4,4658.95
03-10-2025,admin@service.com,Important Notice,Spam,518,2,4806.39
22-06-2025,david@company.com,Assignment Submission,Notification,895,4,1642.99
